# tri-to-quad-uv-map v1 profile=eyebrow uv_layer=UVMap uv_precision=4 joins=80 source=eyebrow result=eyebrow.quad
u1,v1,u2,v2
0.4048,0.0217,0.4514,0.2576
0.3596,0.0217,0.4048,0.2576
0.1963,0.4949,0.2359,0.7353
0.8424,0.7353,0.8799,0.4949
0.2359,0.4949,0.2762,0.7353
0.3596,0.2576,0.4048,0.4949
0.0842,0.0217,0.1201,0.2576
0.2762,0.0217,0.3171,0.2576
0.6829,0.9771,0.7238,0.7353
0.3171,0.2576,0.3596,0.4949
0.0842,0.2576,0.1201,0.4949
0.5486,0.2576,0.5952,0.0217
0.3171,0.4949,0.3596,0.7353
0.2762,0.2576,0.3171,0.4949
0.3171,0.7353,0.3596,0.9771
0.1963,0.0217,0.2359,0.2576
0.6404,0.4949,0.6829,0.2576
0.2359,0.2576,0.2762,0.4949
0.2762,0.7353,0.3171,0.9771
0.8037,0.4949,0.8424,0.2576
0.2762,0.4949,0.3171,0.7353
0.7238,0.4949,0.7641,0.2576
0.6404,0.9771,0.6829,0.7353
0.1201,0.0217,0.1576,0.2576
0.6829,0.4949,0.7238,0.2576
0.1576,0.2576,0.1963,0.4949
0.1963,0.7353,0.2359,0.9771
0.3596,0.7353,0.4048,0.9771
0.1576,0.4949,0.1963,0.7353
0.1201,0.2576,0.1576,0.4949
0.1963,0.2576,0.2359,0.4949
0.0491,0.0217,0.0842,0.2576
0.1201,0.4949,0.1576,0.7353
0.9158,0.4949,0.9509,0.2576
0.1201,0.7353,0.1576,0.9771
0.9158,0.4949,0.9509,0.7353
0.0491,0.2576,0.0842,0.4949
0.0491,0.7353,0.0842,0.4949
0.0842,0.9771,0.1201,0.7353
0.0491,0.9771,0.0842,0.7353
0.6404,0.2576,0.6829,0.0217
0.5952,0.2576,0.6404,0.0217
0.5486,0.4949,0.5952,0.2576
0.5952,0.4949,0.6404,0.2576
0.3171,0.0217,0.3596,0.2576
0.5486,0.7353,0.5952,0.4949
0.8424,0.2576,0.8799,0.0217
0.5486,0.9771,0.5952,0.7353
0.5952,0.7353,0.6404,0.4949
0.6829,0.2576,0.7238,0.0217
0.5952,0.9771,0.6404,0.7353
0.7238,0.2576,0.7641,0.0217
0.7641,0.9771,0.8037,0.7353
0.2359,0.0217,0.2762,0.2576
0.9158,0.2576,0.9509,0.0217
0.8037,0.7353,0.8424,0.4949
0.6829,0.7353,0.7238,0.4949
0.4048,0.2576,0.4514,0.4949
0.2359,0.7353,0.2762,0.9771
0.8037,0.2576,0.8424,0.0217
0.7238,0.7353,0.7641,0.4949
0.7641,0.4949,0.8037,0.2576
0.7238,0.9771,0.7641,0.7353
0.4048,0.4949,0.4514,0.7353
0.7641,0.7353,0.8037,0.4949
0.7641,0.2576,0.8037,0.0217
0.8424,0.9771,0.8799,0.7353
0.8799,0.2576,0.9158,0.0217
0.1576,0.7353,0.1963,0.9771
0.3596,0.4949,0.4048,0.7353
0.8037,0.9771,0.8424,0.7353
0.4048,0.7353,0.4514,0.9771
0.6404,0.7353,0.6829,0.4949
0.8799,0.4949,0.9158,0.2576
0.8424,0.4949,0.8799,0.2576
0.8799,0.7353,0.9158,0.9771
0.0842,0.7353,0.1201,0.4949
0.9158,0.7353,0.9509,0.9771
0.8799,0.4949,0.9158,0.7353
0.1576,0.0217,0.1963,0.2576
