# tri-to-quad-uv-map v1 profile=eyehighlight uv_layer=UVMap uv_precision=4 joins=264 source=EyeHighlight result=EyeHighlight.Quad
u1,v1,u2,v2
0.2493,0.3095,0.2786,0.2777
0.3162,0.6537,0.3478,0.628
0.2454,0.7898,0.2765,0.7441
0.6199,0.661,0.6573,0.7093
0.6947,0.7217,0.719,0.7822
0.2994,0.4823,0.323,0.5076
0.7235,0.7441,0.7546,0.7898
0.2174,0.7441,0.2454,0.7898
0.7946,0.8192,0.8189,0.7574
0.7705,0.6632,0.7986,0.6879
0.7546,0.7898,0.7826,0.7441
0.7507,0.3095,0.7805,0.2747
0.3066,0.3023,0.3445,0.3092
0.8088,0.7227,0.8453,0.7144
0.8659,0.6567,0.8982,0.5993
0.719,0.7822,0.7561,0.8284
0.7769,0.706,0.8088,0.7227
0.281,0.7822,0.3053,0.7217
0.2845,0.6437,0.3162,0.6537
0.8792,0.5884,0.9038,0.5144
0.8664,0.3693,0.8986,0.4291
0.8489,0.6364,0.8792,0.5884
0.6947,0.7217,0.7279,0.7059
0.1163,0.3489,0.1544,0.3086
0.247,0.7119,0.2666,0.6608
0.8173,0.6571,0.8489,0.6364
0.8189,0.7574,0.8593,0.7429
0.8602,0.5777,0.8841,0.5143
0.8014,0.4001,0.8319,0.4103
0.1018,0.5993,0.1341,0.6567
0.8795,0.4396,0.9038,0.5144
0.1205,0.4396,0.1509,0.3898
0.8456,0.3086,0.8837,0.3489
0.775,0.3154,0.808,0.2984
0.7857,0.2349,0.8286,0.2258
0.704,0.6869,0.7334,0.6608
0.7165,0.2378,0.751,0.2675
0.6741,0.2316,0.7165,0.2378
0.751,0.2675,0.7857,0.2349
0.7561,0.8284,0.7883,0.7821
0.7805,0.2747,0.8184,0.262
0.1912,0.7227,0.2231,0.706
0.2746,0.3191,0.3066,0.3023
0.8453,0.7144,0.8829,0.677
0.7235,0.7441,0.753,0.7119
0.6838,0.2669,0.7214,0.2777
0.6172,0.3406,0.6555,0.3092
0.6555,0.3092,0.6934,0.3023
0.3502,0.3852,0.3791,0.4263
0.8313,0.338,0.8664,0.3693
0.6934,0.3023,0.7254,0.3191
0.8205,0.5551,0.8448,0.514
0.6169,0.4973,0.6394,0.4398
0.8313,0.6858,0.8659,0.6567
0.6209,0.4263,0.6498,0.3852
0.6199,0.661,0.622,0.5711
0.7308,0.3637,0.7507,0.3095
0.7029,0.3377,0.7308,0.3637
0.1779,0.5138,0.2015,0.5426
0.3423,0.4536,0.364,0.5008
0.622,0.5711,0.636,0.5008
0.7504,0.3579,0.7627,0.4082
0.6978,0.4008,0.7029,0.3377
0.6394,0.4398,0.6669,0.4079
0.323,0.5076,0.3414,0.5582
0.636,0.5008,0.6577,0.4536
0.345,0.5039,0.3596,0.5657
0.3427,0.7093,0.3801,0.661
0.6577,0.4536,0.6864,0.4325
0.3414,0.5582,0.3478,0.628
0.7627,0.4082,0.7855,0.3798
0.714,0.3788,0.7141,0.4359
0.7849,0.4383,0.8121,0.4341
0.6419,0.2797,0.6838,0.2669
0.6522,0.628,0.6586,0.5582
0.6522,0.628,0.6838,0.6537
0.2143,0.2349,0.249,0.2675
0.7334,0.6608,0.753,0.7119
0.6586,0.5582,0.677,0.5076
0.6864,0.4325,0.7006,0.4823
0.677,0.5076,0.7006,0.4823
0.6838,0.6537,0.7155,0.6437
0.2911,0.5618,0.2986,0.5104
0.2922,0.4596,0.2986,0.5104
0.6684,0.6097,0.6987,0.6226
0.7381,0.6165,0.7521,0.666
0.3013,0.6226,0.3316,0.6097
0.1336,0.3693,0.1687,0.338
0.6864,0.4325,0.7141,0.4359
0.225,0.6015,0.2491,0.6154
0.2971,0.3377,0.3022,0.4008
0.6874,0.5879,0.7152,0.587
0.2095,0.5652,0.225,0.6015
0.2491,0.6154,0.2733,0.6017
0.7014,0.5104,0.7078,0.4596
0.2733,0.6017,0.2911,0.5618
0.7868,0.6473,0.8173,0.6571
0.7851,0.5905,0.8129,0.5916
0.6874,0.5879,0.7015,0.5378
0.6684,0.6097,0.679,0.549
0.2985,0.5378,0.3126,0.5879
0.8129,0.5916,0.8417,0.5673
0.3445,0.3092,0.3828,0.3406
0.8604,0.45,0.8841,0.5143
0.8491,0.3898,0.8795,0.4396
0.1208,0.5884,0.1511,0.6364
0.8414,0.4605,0.8644,0.5142
0.2835,0.2378,0.3259,0.2316
0.7986,0.6879,0.8313,0.6858
0.7985,0.5426,0.8129,0.5916
0.7985,0.5426,0.8221,0.5138
0.2022,0.5149,0.2089,0.4633
0.6691,0.3387,0.7029,0.3377
0.3136,0.4325,0.3423,0.4536
0.6706,0.6815,0.704,0.6869
0.7983,0.4871,0.8121,0.4341
0.2089,0.4633,0.2266,0.4227
0.677,0.5076,0.7015,0.5378
0.2848,0.587,0.3126,0.5879
0.2266,0.4227,0.2505,0.4123
0.7849,0.4383,0.7855,0.3798
0.7855,0.3798,0.817,0.3674
0.2505,0.4123,0.2743,0.4256
0.2743,0.4256,0.2922,0.4596
0.7977,0.3348,0.8313,0.338
0.6573,0.7093,0.6947,0.7217
0.714,0.3788,0.7367,0.4113
0.2692,0.3637,0.2971,0.3377
0.6035,0.5783,0.6169,0.4973
0.769,0.3602,0.7977,0.3348
0.2859,0.4359,0.286,0.3788
0.2994,0.4823,0.3136,0.4325
0.284,0.8183,0.3146,0.7564
0.3146,0.7564,0.3548,0.7325
0.2439,0.8284,0.281,0.7822
0.2633,0.4113,0.286,0.3788
0.753,0.7119,0.7705,0.6632
0.3053,0.7217,0.3427,0.7093
0.6854,0.7564,0.716,0.8183
0.2117,0.7821,0.2439,0.8284
