# tri-to-quad-uv-map v1 profile=eyelash uv_layer=UVMap uv_precision=4 joins=112 source=Eyelash result=Eyelash.Quad
u1,v1,u2,v2
0.4558,0.9839,0.4941,0.8552
0.2744,0.6312,0.3223,0.5329
0.4558,0.8552,0.4941,0.7365
0.6301,0.6312,0.6777,0.7365
0.0043,0.597,0.0377,0.6843
0.4558,0.7365,0.4941,0.6312
0.3223,0.9839,0.3699,0.8552
0.1469,0.7365,0.1837,0.8552
0.4153,0.6312,0.4558,0.5325
0.4558,0.6312,0.4941,0.5324
0.948,0.8049,0.9957,0.7891
0.1528,0.6312,0.1869,0.7365
0.9131,0.331,0.9364,0.2439
0.6301,0.8552,0.6777,0.9839
0.3699,0.6312,0.4153,0.5326
0.3223,0.7365,0.3699,0.6312
0.1377,0.8552,0.1797,0.9839
0.9642,0.5303,0.9957,0.4173
0.9204,0.6859,0.9623,0.6843
0.2287,0.6312,0.2744,0.7365
0.2287,0.6312,0.2744,0.5328
0.9125,0.421,0.9364,0.3552
0.1893,0.5326,0.2287,0.6312
0.2744,0.8552,0.3223,0.7365
0.2287,0.7365,0.2744,0.8552
0.9105,0.517,0.9355,0.4696
0.7256,0.5328,0.7713,0.6312
0.1837,0.8552,0.2287,0.9839
0.1869,0.7365,0.2287,0.8552
0.8923,0.3095,0.9131,0.2439
0.2744,0.9839,0.3223,0.8552
0.3699,0.9839,0.4153,0.8552
0.8732,0.9839,0.9105,0.8497
0.1214,0.6241,0.1469,0.7365
0.8914,0.726,0.9013,0.5933
0.0895,0.8497,0.1268,0.9839
0.1086,0.726,0.1377,0.8552
0.0987,0.5933,0.1086,0.726
0.4153,0.7365,0.4558,0.6312
0.0043,0.7891,0.052,0.8049
0.3223,0.6312,0.3699,0.5328
0.0377,0.6843,0.0796,0.6859
0.052,0.8049,0.0672,0.9839
0.0352,0.2439,0.0636,0.3552
0.0674,0.5901,0.0987,0.5933
0.7713,0.6312,0.8107,0.5326
0.0043,0.4173,0.0358,0.5303
0.7256,0.8552,0.7713,0.7365
0.0645,0.4696,0.0895,0.517
0.0352,0.3849,0.0645,0.4696
0.1309,0.5332,0.1528,0.6312
0.0043,0.2439,0.0352,0.3849
0.0636,0.3552,0.0875,0.421
0.0869,0.331,0.1077,0.3785
0.0636,0.2439,0.0869,0.331
0.0869,0.2439,0.1077,0.3095
0.5059,0.7365,0.5442,0.8552
0.5442,0.8552,0.5847,0.9839
0.5059,0.5324,0.5442,0.6312
0.5442,0.7365,0.5847,0.8552
0.5847,0.8552,0.6301,0.9839
0.5442,0.6312,0.5847,0.7365
0.5847,0.7365,0.6301,0.8552
0.0895,0.517,0.1135,0.5138
0.5442,0.5325,0.5847,0.6312
0.5847,0.6312,0.6301,0.7365
0.6301,0.7365,0.6777,0.8552
0.6777,0.8552,0.7256,0.9839
0.8531,0.7365,0.8786,0.6241
0.3699,0.8552,0.4153,0.7365
0.6301,0.5328,0.6777,0.6312
0.6777,0.7365,0.7256,0.8552
0.6777,0.5329,0.7256,0.6312
0.6777,0.6312,0.7256,0.7365
0.1885,0.6312,0.2287,0.7365
0.7256,0.7365,0.7713,0.6312
0.4153,0.8552,0.4558,0.7365
0.7256,0.9839,0.7713,0.8552
0.8923,0.3785,0.9131,0.331
0.7713,0.7365,0.8115,0.6312
0.8115,0.6312,0.8429,0.5327
0.9013,0.5933,0.9326,0.5901
0.9355,0.4696,0.9648,0.3849
0.8131,0.7365,0.8472,0.6312
0.8472,0.6312,0.8691,0.5332
0.8203,0.9839,0.8623,0.8552
0.8163,0.8552,0.8531,0.7365
0.8623,0.8552,0.8914,0.726
0.8786,0.6241,0.8865,0.5138
0.3699,0.7365,0.4153,0.6312
0.3223,0.8552,0.3699,0.7365
0.0796,0.6859,0.0895,0.8497
0.9328,0.9839,0.948,0.8049
0.9105,0.8497,0.9204,0.6859
0.0358,0.5303,0.0674,0.5901
0.9623,0.6843,0.9957,0.597
0.8865,0.5138,0.9105,0.517
0.2287,0.8552,0.2744,0.9839
0.9326,0.5901,0.9642,0.5303
0.7713,0.8552,0.8131,0.7365
0.8923,0.4544,0.9125,0.421
0.4153,0.9839,0.4558,0.8552
0.0875,0.421,0.1077,0.4544
0.9648,0.3849,0.9957,0.2439
0.9364,0.3552,0.9648,0.2439
0.1571,0.5327,0.1885,0.6312
0.2744,0.7365,0.3223,0.6312
0.5847,0.5326,0.6301,0.6312
0.7713,0.9839,0.8163,0.8552
0.1135,0.5138,0.1214,0.6241
0.5059,0.8552,0.5442,0.9839
0.5059,0.6312,0.5442,0.7365
