# tri-to-quad-uv-map v1 profile=eyeline uv_layer=UVMap uv_precision=4 joins=192 source=Eyeline result=Eyeline.Quad
u1,v1,u2,v2
0.5061,0.2721,0.542,0.1413
0.5061,0.4603,0.542,0.3845
0.6151,0.3845,0.6518,0.2721
0.5061,0.5637,0.5505,0.6249
0.407,0.8312,0.4495,0.7071
0.4495,0.6249,0.4939,0.5637
0.7542,0.6249,0.7901,0.5637
0.8355,0.3845,0.8684,0.4602
0.6889,0.4603,0.7268,0.5177
0.3482,0.1413,0.3849,0.2721
0.6327,0.9762,0.6725,0.8312
0.3275,0.6249,0.3673,0.5637
0.3275,0.6249,0.3673,0.7071
0.3275,0.8312,0.3673,0.9762
0.2026,0.7071,0.2396,0.8312
0.285,0.6249,0.3275,0.5637
0.146,0.8312,0.1814,0.9762
0.2469,0.5637,0.285,0.6249
0.285,0.8312,0.3275,0.9762
0.0468,0.3879,0.0824,0.468
0.4215,0.1413,0.458,0.2721
0.2099,0.5637,0.2458,0.6249
0.7647,0.1413,0.8014,0.272
0.6725,0.9762,0.715,0.8312
0.5785,0.2721,0.6151,0.1413
0.151,0.5588,0.1723,0.6249
0.1932,0.8312,0.2345,0.9762
0.7974,0.7071,0.8277,0.6249
0.1723,0.6249,0.2026,0.7071
0.4215,0.4603,0.458,0.5177
0.715,0.6249,0.7531,0.5637
0.285,0.7071,0.3275,0.8312
0.1415,0.6184,0.1631,0.7071
0.8739,0.7003,0.8808,0.5998
0.1051,0.3879,0.1213,0.432
0.8355,0.2719,0.8684,0.3844
0.9012,0.8271,0.9017,0.6765
0.9372,0.797,0.9953,0.8291
0.9345,0.9762,0.9372,0.797
0.8756,0.5147,0.8939,0.505
0.8808,0.5998,0.9136,0.6203
0.9017,0.6765,0.9508,0.7161
0.891,0.5589,0.9166,0.5461
0.9166,0.5461,0.9532,0.4989
0.8585,0.6184,0.8674,0.5451
0.9508,0.7161,0.9953,0.6821
0.8939,0.505,0.9176,0.468
0.9176,0.468,0.9532,0.3879
0.8949,0.4474,0.9176,0.3879
0.8779,0.4748,0.8949,0.4474
0.9532,0.4989,0.9953,0.3879
0.8787,0.432,0.8949,0.3879
0.458,0.1413,0.4939,0.2721
0.458,0.3845,0.4939,0.4603
0.5505,0.8312,0.593,0.9762
0.8014,0.4603,0.8355,0.5177
0.4495,0.7071,0.4939,0.6249
0.5505,0.6249,0.593,0.7071
0.5505,0.5637,0.593,0.6249
0.593,0.6249,0.6327,0.5637
0.593,0.9762,0.6327,0.8312
0.593,0.8312,0.6327,0.7071
0.593,0.7071,0.6327,0.6249
0.5505,0.7071,0.593,0.8312
0.7647,0.2721,0.8014,0.3845
0.7647,0.3845,0.8014,0.4603
0.6327,0.8312,0.6725,0.7071
0.407,0.7071,0.4495,0.6249
0.6725,0.7071,0.715,0.6249
0.1261,0.7003,0.146,0.8312
0.3673,0.6249,0.407,0.7071
0.6725,0.8312,0.715,0.7071
0.715,0.7071,0.7542,0.6249
0.0988,0.8271,0.1249,0.9762
0.715,0.9762,0.7604,0.8312
0.715,0.8312,0.7563,0.7071
0.7563,0.7071,0.7926,0.6249
0.7926,0.6249,0.8226,0.5637
0.6327,0.5637,0.6725,0.6249
0.7604,0.8312,0.7974,0.7071
0.7655,0.9762,0.8068,0.8312
0.8277,0.6249,0.849,0.5588
0.8186,0.9762,0.854,0.8312
0.8068,0.8312,0.8369,0.7071
0.0824,0.3879,0.1051,0.4474
0.1192,0.5998,0.1261,0.7003
0.8751,0.9762,0.9012,0.8271
0.854,0.8312,0.8739,0.7003
0.8674,0.5451,0.891,0.5589
0.1326,0.5451,0.1415,0.6184
0.0983,0.6765,0.0988,0.8271
0.0628,0.797,0.0655,0.9762
0.0047,0.8291,0.0628,0.797
0.1061,0.505,0.1244,0.5147
0.0864,0.6203,0.1192,0.5998
0.0492,0.7161,0.0983,0.6765
0.0047,0.6821,0.0492,0.7161
0.0468,0.4989,0.0834,0.5461
0.0834,0.5461,0.109,0.5589
0.0047,0.535,0.0474,0.6087
0.0824,0.468,0.1061,0.505
0.1631,0.7071,0.1932,0.8312
0.8369,0.7071,0.8585,0.6184
0.1051,0.4474,0.1221,0.4748
0.9526,0.6087,0.9953,0.535
0.4215,0.2721,0.458,0.3845
0.1316,0.5177,0.1645,0.4603
0.5061,0.3845,0.542,0.2721
0.4215,0.3845,0.458,0.4603
0.5061,0.7071,0.5505,0.8312
0.3849,0.1413,0.4215,0.2721
0.2458,0.6249,0.285,0.7071
0.5061,0.5177,0.542,0.4603
0.6518,0.4603,0.6889,0.3845
0.8014,0.1412,0.8355,0.2719
0.3849,0.2721,0.4215,0.3845
0.285,0.6249,0.3275,0.7071
0.3111,0.1413,0.3482,0.2721
0.3849,0.3845,0.4215,0.4603
0.3482,0.2721,0.3849,0.3845
0.3849,0.4603,0.4215,0.5177
0.3482,0.3845,0.3849,0.4603
0.3673,0.8312,0.407,0.9762
0.6518,0.2721,0.6889,0.1413
0.3673,0.7071,0.407,0.8312
0.2732,0.5177,0.3111,0.4603
0.3111,0.3845,0.3482,0.4603
0.7268,0.2721,0.7647,0.3845
0.2437,0.7071,0.285,0.8312
0.2732,0.2721,0.3111,0.1413
0.2732,0.3845,0.3111,0.2721
0.2353,0.4603,0.2732,0.3845
0.2353,0.2721,0.2732,0.1413
0.6151,0.4603,0.6518,0.3845
0.2353,0.3845,0.2732,0.2721
0.1986,0.4603,0.2353,0.3845
0.1645,0.5177,0.1986,0.4603
0.1986,0.272,0.2353,0.1413
0.1986,0.3845,0.2353,0.2721
0.2074,0.6249,0.2437,0.7071
0.8355,0.141,0.8684,0.2718
0.1316,0.4602,0.1645,0.3845
0.1645,0.3845,0.1986,0.272
0.1645,0.2719,0.1986,0.1412
0.1316,0.3844,0.1645,0.2719
0.1316,0.2718,0.1645,0.141
0.458,0.2721,0.4939,0.3845
0.542,0.2721,0.5785,0.1413
0.4495,0.8312,0.4939,0.7071
0.3673,0.5637,0.407,0.6249
0.542,0.3845,0.5785,0.2721
0.458,0.4603,0.4939,0.5177
0.6151,0.2721,0.6518,0.1413
0.5061,0.8312,0.5505,0.9762
0.542,0.4603,0.5785,0.3845
0.3275,0.7071,0.3673,0.8312
0.542,0.5177,0.5785,0.4603
0.2353,0.5177,0.2732,0.4603
0.3482,0.4603,0.3849,0.5177
0.3111,0.4603,0.3482,0.5177
0.2396,0.8312,0.285,0.9762
0.5785,0.4603,0.6151,0.3845
0.6151,0.5177,0.6518,0.4603
0.6518,0.3845,0.6889,0.2721
0.6518,0.5177,0.6889,0.4603
0.2732,0.4603,0.3111,0.3845
0.5785,0.5177,0.6151,0.4603
0.6889,0.3845,0.7268,0.4603
0.7268,0.4603,0.7647,0.5177
0.6327,0.7071,0.6725,0.6249
0.7268,0.3845,0.7647,0.4603
0.6889,0.1413,0.7268,0.2721
0.7647,0.4603,0.8014,0.5177
0.7268,0.1413,0.7647,0.2721
0.407,0.9762,0.4495,0.8312
0.5785,0.3845,0.6151,0.2721
0.1645,0.4603,0.1986,0.3845
0.6889,0.2721,0.7268,0.3845
0.3111,0.2721,0.3482,0.3845
0.8014,0.3845,0.8355,0.4603
0.8355,0.4603,0.8684,0.5177
0.8014,0.272,0.8355,0.3845
0.0047,0.3879,0.0468,0.4989
0.1774,0.5637,0.2074,0.6249
0.6725,0.5637,0.715,0.6249
0.407,0.6249,0.4495,0.5637
0.109,0.5589,0.1326,0.5451
0.9136,0.6203,0.9526,0.6087
0.0474,0.6087,0.0864,0.6203
0.1986,0.5177,0.2353,0.4603
0.4495,0.9762,0.4939,0.8312
0.5061,0.6249,0.5505,0.7071
