# tri-to-quad-uv-map v1 profile=eyewhite uv_layer=UVMap uv_precision=4 joins=264 source=EyeWhite result=EyeWhite.Quad
u1,v1,u2,v2
0.3954,0.2452,0.4432,0.2827
0.9193,0.6573,0.9625,0.5987
0.8299,0.7962,0.8773,0.716
0.7628,0.139,0.8087,0.1872
0.7647,0.8271,0.8251,0.7604
0.6979,0.8332,0.7645,0.7899
0.1227,0.716,0.1701,0.7962
0.8251,0.7604,0.8638,0.6791
0.9193,0.6573,0.9281,0.5683
0.7645,0.7899,0.8176,0.7179
0.9415,0.5025,0.9493,0.5848
0.2757,0.2703,0.3353,0.2398
0.5721,0.5233,0.626,0.5793
0.0952,0.2366,0.1479,0.2215
0.9382,0.4368,0.9475,0.3607
0.5213,0.4493,0.5453,0.3787
0.1686,0.2792,0.1736,0.3679
0.7896,0.3876,0.8264,0.3679
0.3364,0.3998,0.3509,0.3271
0.8986,0.4448,0.9253,0.3754
0.9014,0.4959,0.9281,0.5683
0.8912,0.5467,0.9012,0.629
0.8769,0.3564,0.8878,0.2723
0.8176,0.7179,0.8408,0.6317
0.8144,0.1422,0.8521,0.2215
0.8885,0.397,0.9104,0.322
0.8567,0.4529,0.9014,0.4959
0.8415,0.3904,0.8593,0.3185
0.2848,0.2087,0.3459,0.1958
0.0375,0.5987,0.0807,0.6573
0.8773,0.716,0.9012,0.629
0.8639,0.18,0.916,0.2063
0.8144,0.1422,0.8713,0.1467
0.8521,0.2215,0.9048,0.2366
0.2399,0.3183,0.2757,0.2703
0.6575,0.4334,0.6984,0.4272
0.7048,0.1183,0.7628,0.139
0.8164,0.5058,0.8548,0.4885
0.1452,0.4885,0.1807,0.4602
0.39,0.4146,0.4355,0.4549
0.8521,0.2215,0.8593,0.3185
0.5989,0.7226,0.6369,0.8068
0.3758,0.3688,0.4311,0.3957
0.5463,0.5344,0.5496,0.6518
0.2355,0.7899,0.3021,0.8332
0.7891,0.6012,0.7942,0.5436
0.7092,0.1602,0.7631,0.1871
0.597,0.2131,0.6541,0.1958
0.8264,0.3679,0.8314,0.2792
0.7631,0.1871,0.7974,0.2527
0.8193,0.4602,0.8462,0.4212
0.5568,0.2827,0.6046,0.2452
0.1287,0.1467,0.1856,0.1422
0.8193,0.4602,0.8548,0.4885
0.1828,0.4828,0.1952,0.5241
0.2058,0.5436,0.2435,0.4719
0.7152,0.2087,0.7619,0.253
0.5305,0.3626,0.5678,0.308
0.8099,0.4209,0.8462,0.4212
0.6588,0.7361,0.7193,0.6892
0.6951,0.4474,0.7122,0.4114
0.2976,0.7975,0.3412,0.7361
0.9306,0.2963,0.9622,0.3496
0.1824,0.7179,0.2355,0.7899
0.0507,0.5848,0.0585,0.5025
0.3353,0.2398,0.3954,0.2452
0.8986,0.4448,0.9415,0.5025
0.7024,0.7975,0.7638,0.7444
0.7638,0.7444,0.8044,0.6616
