# tri-to-quad-uv-map v1 profile=face uv_layer=UVMap uv_precision=4 joins=2116 source=Face.only result=Face.only.quad
u1,v1,u2,v2
0.5235,0.3642,0.5339,0.3769
0.5298,0.4661,0.5404,0.4416
0.9703,0.2346,0.9823,0.2701
0.9617,0.2334,0.9703,0.262
0.9178,0.1946,0.9377,0.2072
0.9334,0.2139,0.9412,0.2425
0.9539,0.2334,0.9612,0.2589
0.9065,0.1562,0.9281,0.1667
0.9377,0.2072,0.9617,0.2334
0.9423,0.2008,0.9703,0.2346
0.9217,0.1857,0.9423,0.2008
0.925,0.1763,0.947,0.1945
0.9035,0.1667,0.925,0.1763
0.8833,0.1364,0.9091,0.1454
0.8164,0.1098,0.8543,0.1164
0.7796,0.0759,0.8198,0.08
0.7779,0.0922,0.8183,0.0952
0.8767,0.1588,0.9035,0.1667
0.8484,0.141,0.8806,0.1479
0.8806,0.1479,0.9065,0.1562
0.9377,0.2072,0.9476,0.2357
0.8543,0.1164,0.8855,0.1246
0.7425,0.0609,0.7779,0.0922
0.8183,0.0952,0.8562,0.1032
0.7054,0.0496,0.7403,0.0788
0.7425,0.0609,0.7811,0.0585
0.6272,0.0119,0.6667,0.0411
0.8164,0.1098,0.8484,0.141
0.6667,0.0411,0.703,0.0687
0.7075,0.0291,0.7425,0.0609
0.7779,0.0922,0.8137,0.1229
0.6277,0.0355,0.6657,0.0615
0.6674,0.019,0.7054,0.0496
0.628,0.0569,0.6642,0.0782
0.703,0.0687,0.7375,0.0943
0.5423,0.0781,0.5591,0.088
0.7403,0.0788,0.7756,0.1066
0.5899,0.0085,0.6277,0.0355
0.508,0.3792,0.5202,0.3906
0.6657,0.0615,0.7001,0.0851
0.5562,0.0073,0.5895,0.0327
0.527,0.0069,0.5547,0.0311
0.5,0.0278,0.5234,0.0504
0.5895,0.0327,0.628,0.0569
0.5547,0.0311,0.5894,0.0547
0.6965,0.0996,0.7289,0.1214
0.6642,0.0782,0.6965,0.0996
0.5894,0.0547,0.6281,0.074
0.6281,0.074,0.6618,0.0928
0.7756,0.1066,0.8095,0.1351
0.7001,0.0851,0.7339,0.1082
0.8484,0.141,0.8708,0.1696
0.7375,0.0943,0.7722,0.1197
0.8994,0.1766,0.9121,0.2044
0.6274,0.0885,0.6582,0.1066
