# tri-to-quad-uv-map v1 profile=hairback uv_layer=UVMap uv_precision=4 joins=800 source=HairBack result=HairBack.Quad
u1,v1,u2,v2
0.194,0.3199,0.2259,0.2842
0.2253,0.1757,0.2458,0.1496
0.2554,0.3517,0.2751,0.31
0.2541,0.2224,0.2774,0.1934
0.234,0.1034,0.2534,0.0892
0.2023,0.2865,0.2304,0.2529
0.2611,0.3859,0.2779,0.3435
0.2716,0.1035,0.2904,0.1171
0.2154,0.2293,0.2381,0.2006
0.3188,0.1006,0.3445,0.1147
0.2872,0.4697,0.2985,0.4326
0.2671,0.4172,0.2828,0.3757
0.2294,0.1499,0.2486,0.1322
0.2568,0.1972,0.2802,0.1698
0.2486,0.1322,0.2694,0.1181
0.2507,0.1181,0.2716,0.1035
0.3409,0.4715,0.3563,0.4393
0.2694,0.1181,0.287,0.1318
0.2203,0.2039,0.2421,0.1738
0.2343,0.226,0.2568,0.1972
0.315,0.1157,0.34,0.1312
0.2635,0.1492,0.287,0.1318
0.2774,0.1934,0.304,0.1677
0.3227,0.0857,0.3495,0.098
0.2836,0.1488,0.3111,0.1313
0.2332,0.1176,0.2522,0.1037
0.2458,0.1496,0.2666,0.1323
0.2601,0.1718,0.2836,0.1488
0.2318,0.1318,0.2507,0.1181
0.2992,0.493,0.3084,0.458
0.261,0.6248,0.2974,0.6239
0.3547,0.0812,0.3811,0.0959
0.2933,0.1025,0.315,0.1157
0.2381,0.2006,0.2601,0.1718
0.2498,0.3155,0.2741,0.2765
0.2191,0.3201,0.233,0.3598
0.3713,0.1314,0.4002,0.1474
0.2904,0.1171,0.3111,0.1313
0.2764,0.4444,0.2898,0.4053
0.2096,0.2557,0.2343,0.226
0.1942,0.4015,0.233,0.3598
0.1762,0.3884,0.2081,0.3608
0.3015,0.1894,0.333,0.1657
0.2735,0.0889,0.2933,0.1025
0.2751,0.31,0.3007,0.2712
0.2534,0.0892,0.2716,0.1035
0.2745,0.2452,0.3003,0.2134
0.3193,0.4814,0.3314,0.448
0.3226,0.4224,0.342,0.3866
0.2961,0.088,0.3188,0.1006
0.3314,0.448,0.349,0.4137
0.304,0.1677,0.3361,0.1481
0.2802,0.1698,0.3074,0.1483
0.3963,0.2873,0.43,0.3128
0.3968,0.3164,0.4312,0.3409
0.3769,0.4064,0.4016,0.3734
0.364,0.2915,0.3968,0.3164
0.3962,0.2578,0.4302,0.2271
0.3361,0.1481,0.3713,0.1314
0.3365,0.358,0.3713,0.3793
0.3867,0.077,0.4095,0.0954
0.4027,0.1317,0.4333,0.1471
0.3985,0.1618,0.4317,0.1767
0.4095,0.4261,0.4355,0.3962
0.364,0.463,0.3826,0.432
0.4095,0.0954,0.436,0.1149
0.3563,0.4393,0.3769,0.4064
0.349,0.4137,0.3713,0.3793
0.4677,0.1153,0.5,0.1322
0.43,0.3128,0.4653,0.3384
0.4296,0.2843,0.4647,0.3105
0.4324,0.1606,0.4659,0.1763
0.4673,0.3935,0.5,0.3655
0.4404,0.4456,0.4684,0.4189
0.5316,0.4189,0.5596,0.4456
0.4378,0.4218,0.4673,0.3935
0.5,0.3376,0.5353,0.3105
0.5,0.3655,0.5327,0.3935
0.4644,0.2825,0.5,0.3098
0.4663,0.1603,0.5,0.1768
0.7067,0.1025,0.7265,0.0889
0.5323,0.1153,0.5624,0.0958
0.5,0.3098,0.5356,0.2825
0.7284,0.1035,0.7466,0.0892
0.5,0.1768,0.5337,0.1603
0.685,0.1157,0.7067,0.1025
0.5,0.225,0.5346,0.1993
0.4654,0.1993,0.5,0.225
0.6505,0.098,0.6773,0.0857
0.5329,0.1321,0.564,0.1149
0.6242,0.1142,0.6505,0.098
0.5353,0.3105,0.5704,0.2843
0.6889,0.1313,0.7096,0.1171
0.564,0.1149,0.5905,0.0954
0.6555,0.1147,0.6812,0.1006
0.6889,0.1313,0.7164,0.1488
0.6287,0.1314,0.6555,0.1147
0.5346,0.1993,0.5698,0.2271
0.5905,0.0954,0.6133,0.077
0.713,0.1318,0.7306,0.1181
0.66,0.1312,0.6926,0.1483
0.5667,0.1471,0.5973,0.1317
0.6812,0.1006,0.7039,0.088
0.7284,0.1035,0.7493,0.1181
0.7466,0.0892,0.766,0.1034
0.6349,0.1637,0.669,0.1855
0.713,0.1318,0.7365,0.1492
0.5942,0.1144,0.6189,0.0959
0.66,0.1312,0.685,0.1157
0.7306,0.1181,0.7514,0.1322
0.7365,0.1492,0.7579,0.1738
0.6287,0.1314,0.6639,0.1481
0.5337,0.1603,0.5667,0.1471
0.7226,0.1934,0.7459,0.2224
0.5347,0.3384,0.57,0.3128
0.436,0.1149,0.4671,0.1321
0.4302,0.2271,0.4654,0.1993
0.5001,0.1468,0.5329,0.1321
0.4671,0.1321,0.5001,0.1468
0.3321,0.2973,0.3647,0.3215
0.3303,0.2089,0.3636,0.1818
0.3632,0.2049,0.3974,0.1787
0.4333,0.1471,0.4663,0.1603
0.3633,0.2318,0.3968,0.2018
0.3495,0.098,0.3758,0.1142
0.302,0.3037,0.3311,0.2658
0.3311,0.2658,0.3633,0.2318
0.3636,0.2611,0.3964,0.2289
0.3042,0.3356,0.3321,0.2973
0.5,0.4179,0.5304,0.4426
0.3305,0.2357,0.3632,0.2049
0.3002,0.2404,0.3303,0.2089
0.2191,0.3201,0.2498,0.2811
0.3636,0.2611,0.3963,0.2873
0.3003,0.2134,0.331,0.1855
0.3964,0.2289,0.4309,0.1999
0.3311,0.2658,0.364,0.2915
0.3007,0.2712,0.3305,0.2357
0.2259,0.2842,0.2518,0.2496
0.2898,0.4053,0.3082,0.3663
0.2559,0.4582,0.2671,0.4172
0.2633,0.5222,0.2675,0.4833
0.2246,0.4494,0.2397,0.3987
0.2304,0.2529,0.2541,0.2224
0.1583,0.5124,0.1841,0.499
0.1695,0.5277,0.1989,0.5182
0.2316,0.5174,0.2363,0.4747
0.1908,0.4524,0.2246,0.4494
0.2158,0.5388,0.2167,0.4948
0.1848,0.5443,0.2158,0.5388
0.1087,0.5305,0.1164,0.5658
0.2363,0.4747,0.2456,0.4314
0.2167,0.4948,0.2246,0.4494
0.2158,0.5388,0.2476,0.5395
0.24,0.6043,0.2719,0.6015
0.1434,0.5425,0.1695,0.5277
0.0223,0.5388,0.047,0.5188
0.2235,0.6574,0.252,0.65
0.047,0.5188,0.0586,0.5489
0.2805,0.5067,0.2872,0.4697
0.1841,0.499,0.1908,0.4524
0.1989,0.5182,0.2033,0.4724
0.0683,0.5228,0.0792,0.5535
0.1261,0.538,0.1327,0.5742
0.0887,0.5267,0.0987,0.5591
0.0223,0.5388,0.028,0.5707
0.0792,0.5535,0.0893,0.5867
0.0586,0.5489,0.0697,0.5803
0.0375,0.5448,0.0491,0.5743
0.1391,0.6113,0.1637,0.5989
0.1327,0.5742,0.1579,0.5568
0.2305,0.6305,0.261,0.6248
0.1733,0.5717,0.2027,0.5637
0.2148,0.7082,0.2413,0.6998
0.0661,0.5884,0.0697,0.5803
0.1696,0.6738,0.1973,0.6667
0.1484,0.6545,0.1643,0.7014
0.0984,0.6205,0.1179,0.6208
0.0827,0.6035,0.1026,0.6071
0.1261,0.6615,0.1484,0.6545
0.1164,0.5658,0.1241,0.5997
0.1241,0.5997,0.1477,0.5847
0.1477,0.5847,0.1733,0.5717
0.0987,0.5591,0.1068,0.5936
0.0029,0.512,0.0117,0.5313
0.005,0.5396,0.0223,0.5388
0.1321,0.6367,0.1555,0.6263
0.0742,0.5877,0.0827,0.6035
0.2185,0.6837,0.2458,0.6753
0.1128,0.6397,0.1321,0.6367
0.0742,0.5877,0.0893,0.5867
0.2035,0.6392,0.2305,0.6305
0.1756,0.6462,0.2035,0.6392
0.2116,0.6114,0.24,0.6043
0.1696,0.6738,0.1901,0.7167
0.1179,0.6208,0.1391,0.6113
0.0117,0.5313,0.0279,0.5154
0.1721,0.7221,0.1901,0.7167
0.1973,0.6667,0.2235,0.6574
0.1631,0.724,0.1643,0.7014
0.2148,0.7082,0.2343,0.7449
0.0879,0.5966,0.1068,0.5936
0.2091,0.7534,0.2269,0.7837
0.1721,0.7221,0.1852,0.7581
0.2024,0.7816,0.2087,0.7702
0.2269,0.7837,0.2431,0.8086
0.21,0.7833,0.2184,0.7997
0.5624,0.0958,0.5866,0.0756
0.268,0.7174,0.2921,0.7557
0.21,0.7833,0.2269,0.7837
0.1901,0.7386,0.2087,0.7702
0.2118,0.7313,0.2305,0.7661
0.1484,0.6545,0.1756,0.6462
0.3177,0.6692,0.3552,0.6628
0.4135,0.4499,0.4378,0.4218
0.1901,0.7386,0.2118,0.7313
0.2458,0.6753,0.2795,0.6719
0.3328,0.8696,0.3705,0.9013
0.1901,0.7167,0.2148,0.7082
0.252,0.65,0.2878,0.6474
0.3102,0.6935,0.348,0.6875
0.2634,0.7383,0.2866,0.7751
0.3784,0.7025,0.413,0.6879
0.3633,0.7724,0.4008,0.7629
0.2921,0.7557,0.318,0.7966
0.2795,0.6719,0.3036,0.7155
0.2305,0.7661,0.249,0.7969
0.4085,0.7142,0.4415,0.6956
0.3414,0.712,0.3784,0.7025
0.3241,0.776,0.3633,0.7724
0.1927,0.6925,0.2185,0.6837
0.2458,0.6753,0.268,0.7174
0.281,0.7951,0.3044,0.834
0.2795,0.6719,0.3177,0.6692
0.4293,0.8216,0.4658,0.8013
0.4008,0.7629,0.436,0.7484
0.3582,0.7956,0.3891,0.8351
0.2677,0.826,0.2905,0.8589
0.2878,0.6474,0.3259,0.6451
0.2589,0.7587,0.281,0.7951
0.4658,0.8013,0.5,0.7795
0.4338,0.7721,0.4679,0.7539
0.3936,0.8109,0.4316,0.7958
0.3044,0.834,0.3328,0.8696
0.318,0.7966,0.3456,0.8386
0.2251,0.7952,0.2368,0.8174
0.1555,0.6263,0.1829,0.6184
0.2866,0.7751,0.3114,0.8165
0.1026,0.6071,0.1241,0.5997
0.1829,0.6184,0.2116,0.6114
0.249,0.7969,0.2677,0.826
0.1637,0.5989,0.1919,0.5908
0.1579,0.5568,0.1848,0.5443
0.2413,0.6998,0.2634,0.7383
0.2731,0.6953,0.2977,0.736
0.1919,0.5908,0.2216,0.5843
0.2027,0.5637,0.2337,0.5598
0.3102,0.6935,0.3354,0.7341
0.2377,0.7229,0.2589,0.7587
0.2216,0.5843,0.2515,0.5805
0.3629,0.6401,0.3974,0.6295
0.2343,0.7449,0.2542,0.7792
0.716,0.5819,0.7485,0.5805
0.692,0.6035,0.7281,0.6015
0.2431,0.8086,0.2601,0.8366
0.2542,0.7792,0.2747,0.813
0.6558,0.6043,0.692,0.6035
0.2977,0.736,0.3241,0.776
0.7027,0.5648,0.7355,0.5608
0.6806,0.5856,0.716,0.5819
0.3259,0.6451,0.3629,0.6401
