# tri-to-quad-uv-map v1 profile=iris uv_layer=UVMap uv_precision=4 joins=264 source=Iris result=Iris.Quad
u1,v1,u2,v2
0.7857,0.2349,0.8286,0.2258
0.7513,0.1837,0.7857,0.2349
0.8181,0.263,0.86,0.2795
0.7113,0.1971,0.7508,0.2262
0.8096,0.721,0.8459,0.7135
0.7743,0.3176,0.8077,0.3001
0.2455,0.7496,0.2798,0.78
0.6737,0.2299,0.716,0.2378
0.168,0.6847,0.2005,0.6862
0.6824,0.3691,0.7137,0.3807
0.6777,0.787,0.7202,0.78
0.1393,0.4513,0.1679,0.4129
0.8798,0.4402,0.9038,0.5143
0.8313,0.3399,0.8667,0.3703
0.14,0.2795,0.1819,0.263
0.2464,0.7102,0.2756,0.7417
0.6833,0.2663,0.7207,0.2784
0.6156,0.3399,0.6547,0.3086
0.8494,0.3916,0.8798,0.4402
0.7972,0.3372,0.8313,0.3399
0.7207,0.2784,0.7498,0.3114
0.8207,0.4744,0.845,0.5151
0.6527,0.6251,0.6848,0.6506
0.7713,0.6617,0.7995,0.6862
0.7684,0.3627,0.7972,0.3372
0.716,0.2378,0.7503,0.2688
0.1506,0.6362,0.1819,0.6559
0.6327,0.3626,0.6685,0.3388
0.597,0.4927,0.6199,0.426
0.2666,0.6608,0.295,0.6837
0.7833,0.7426,0.7995,0.6862
0.2845,0.6437,0.3152,0.6506
0.6199,0.426,0.6498,0.3852
0.6035,0.5783,0.6163,0.4964
0.7623,0.4107,0.7855,0.3798
0.1871,0.5916,0.2015,0.5426
0.8013,0.4031,0.8321,0.4129
0.6685,0.3388,0.7025,0.3389
0.3423,0.4536,0.3643,0.5002
0.3595,0.5639,0.3637,0.643
0.7855,0.3798,0.8169,0.3701
0.7495,0.3602,0.7623,0.4107
0.7137,0.3807,0.7367,0.4113
0.3502,0.3852,0.3801,0.426
0.345,0.5039,0.3595,0.5639
0.2743,0.4256,0.292,0.461
0.2505,0.4123,0.2743,0.4256
0.6669,0.4079,0.6977,0.4023
0.6357,0.5002,0.6577,0.4536
0.2845,0.6437,0.2848,0.587
