# tri-to-quad-uv-map v1 profile=loafers uv_layer=UVMap uv_precision=4 joins=99 source=Loafers.pre_t2q result=Loafers
u1,v1,u2,v2
0.5006,0.2408,0.5467,0.1834
0.732,0.5176,0.7626,0.5809
0.3978,0.2305,0.4318,0.2858
0.1877,0.6576,0.246,0.6287
0.1296,0.6279,0.2049,0.614
0.2584,0.427,0.2857,0.5122
0.0789,0.583,0.1497,0.5843
0.1694,0.4628,0.199,0.5452
0.2282,0.487,0.2634,0.5827
0.3233,0.1736,0.3456,0.0989
0.2061,0.4092,0.3037,0.3342
0.2061,0.4092,0.2282,0.487
0.2584,0.427,0.3352,0.3727
0.5882,0.1658,0.6403,0.197
0.2556,0.2802,0.3615,0.2065
0.3983,0.1595,0.4589,0.1372
0.3615,0.2065,0.3645,0.1208
0.3615,0.2065,0.4159,0.1803
0.5004,0.1048,0.5644,0.0679
0.627,0.1077,0.6403,0.197
0.4318,0.0714,0.5004,0.1048
0.4589,0.1372,0.5004,0.1048
0.5644,0.0679,0.5978,0.1441
0.3983,0.1595,0.4318,0.0714
0.5004,0.1048,0.5438,0.1319
0.6403,0.197,0.7472,0.2672
0.5438,0.1319,0.5978,0.1441
0.7405,0.5129,0.7612,0.4178
0.7918,0.481,0.8079,0.402
0.8254,0.5393,0.8438,0.4483
0.7134,0.4332,0.7183,0.3342
0.7405,0.5129,0.8254,0.5393
0.8706,0.5752,0.9425,0.5747
0.7834,0.6324,0.8404,0.6544
0.0589,0.5112,0.0789,0.583
0.4713,0.2858,0.5006,0.2408
0.2555,0.6288,0.2634,0.5827
0.2966,0.5128,0.3095,0.4462
0.8218,0.6095,0.8953,0.6211
0.2634,0.5827,0.2966,0.5128
0.3742,0.2858,0.3879,0.2257
0.2457,0.6697,0.246,0.6287
0.3978,0.2305,0.4159,0.1803
0.3473,0.3746,0.363,0.2858
0.5004,0.1366,0.5438,0.1319
0.3095,0.4462,0.3465,0.3794
0.5818,0.1758,0.6179,0.2153
0.4589,0.1372,0.5004,0.1366
0.6179,0.2153,0.6347,0.2858
0.4159,0.1803,0.4621,0.149
0.673,0.3657,0.7134,0.4332
0.7014,0.4373,0.7405,0.5129
0.5416,0.1447,0.5882,0.1658
0.7626,0.5809,0.7736,0.6315
0.7834,0.6324,0.7841,0.6687
0.6486,0.2858,0.6697,0.3559
0.0589,0.5112,0.1333,0.5101
0.4318,0.0714,0.5004,0.028
0.2556,0.2802,0.2998,0.1558
0.3645,0.1208,0.4197,0.0455
0.645,0.0856,0.6755,0.1649
0.1957,0.4045,0.2556,0.2802
0.5705,0.0402,0.627,0.1077
0.5004,0.0561,0.5705,0.0402
0.7472,0.2672,0.8248,0.3905
0.6755,0.1649,0.7713,0.2503
0.9132,0.539,0.9328,0.4655
0.9425,0.5747,0.9603,0.5011
0.5512,0.2366,0.5818,0.1758
0.459,0.1858,0.5006,0.2408
0.5006,0.2408,0.5323,0.2858
0.5737,0.2858,0.6064,0.2219
0.4221,0.1859,0.4483,0.2378
0.5003,0.184,0.5416,0.1447
0.4621,0.149,0.5003,0.184
0.4648,0.4345,0.5044,0.426
0.4821,0.3393,0.5075,0.3377
0.5075,0.3377,0.5328,0.3393
0.4374,0.3393,0.4813,0.3271
0.5373,0.3271,0.5745,0.3393
0.5047,0.4345,0.5364,0.426
0.4289,0.4345,0.4642,0.426
0.5367,0.5184,0.5624,0.5015
0.4708,0.5094,0.5027,0.5229
0.3833,0.4569,0.4329,0.5056
0.5658,0.5081,0.6151,0.4569
0.4403,0.4989,0.4657,0.5179
0.5326,0.4569,0.5624,0.5015
0.5027,0.5229,0.5322,0.5107
0.5026,0.5121,0.5326,0.4569
0.4703,0.4569,0.5026,0.5121
0.4403,0.4989,0.4703,0.4569
0.2255,0.9073,0.2835,0.7686
0.2759,0.945,0.3366,0.7484
0.3355,0.9654,0.4509,0.7598
0.4509,0.7598,0.5848,0.9239
0.5848,0.9239,0.6299,0.7873
0.7354,0.7974,0.7685,0.8919
0.6299,0.7873,0.7326,0.9127
