# tri-to-quad-uv-map v1 profile=longboots uv_layer=UVMap uv_precision=4 joins=323 source=LongBoots.NormalSrc result=LongBoots
u1,v1,u2,v2
0.8242,0.1925,0.9231,0.1622
0.8257,0.1622,0.9186,0.1359
0.8353,0.1153,0.8933,0.104
0.8472,0.3096,0.9273,0.3006
0.8046,0.2653,0.945,0.2875
0.8111,0.2875,0.9273,0.3006
0.8046,0.2653,0.9617,0.248
0.8146,0.227,0.9484,0.2137
0.8267,0.1359,0.9089,0.1156
0.8146,0.227,0.9617,0.248
0.8207,0.2137,0.9396,0.1998
0.823,0.1998,0.935,0.1925
0.0401,0.2653,0.193,0.248
0.055,0.2875,0.1954,0.2653
0.0603,0.1999,0.1793,0.2137
0.0769,0.1622,0.1758,0.1925
0.0976,0.1151,0.1733,0.1359
0.0433,0.227,0.193,0.248
0.0516,0.2137,0.1854,0.227
0.065,0.1925,0.177,0.2
0.0814,0.1359,0.1743,0.1622
0.055,0.2875,0.1733,0.3006
0.095,0.3096,0.1733,0.3006
0.9447,0.0101,0.9789,0.0515
0.4724,0.089,0.5,0.0515
0.0552,0.0101,0.0957,0.0515
0.0211,0.0515,0.0552,0.0101
0.9042,0.0515,0.9447,0.0101
0.224,0.0515,0.2398,0.089
0.7605,0.089,0.7759,0.0515
0.2393,0.0515,0.2684,0.089
0.5,0.0515,0.5275,0.089
0.2958,0.089,0.3396,0.0515
0.6255,0.0515,0.6603,0.089
0.5819,0.0515,0.6255,0.089
0.5531,0.0515,0.5819,0.089
0.9447,0.089,0.9789,0.0515
0.3744,0.089,0.418,0.0515
0.7042,0.089,0.7315,0.0515
0.4469,0.089,0.4724,0.0515
0.3396,0.089,0.3744,0.0515
0.7759,0.089,0.8387,0.0515
0.7315,0.089,0.7607,0.0515
0.1612,0.0515,0.224,0.089
0.6603,0.0515,0.7042,0.089
0.2684,0.0515,0.2958,0.089
0.5275,0.0515,0.5531,0.089
0.0211,0.089,0.0552,0.0515
0.418,0.089,0.4469,0.0515
0.6859,0.3398,0.7522,0.3796
0.6859,0.3398,0.7175,0.2936
0.6707,0.3768,0.7402,0.4098
0.5836,0.3437,0.6707,0.3768
0.5757,0.4027,0.6707,0.3768
0.6619,0.1519,0.6724,0.1939
0.4999,0.3068,0.5836,0.3437
0.4999,0.2661,0.5901,0.2362
0.4178,0.3764,0.4999,0.3417
0.6182,0.1297,0.6353,0.1618
