# tri-to-quad-uv-map v1 profile=mouth uv_layer=UVMap uv_precision=4 joins=848 source=Mouth result=Mouth.Quad
u1,v1,u2,v2
0.3252,0.761,0.3337,0.822
0.2958,0.761,0.3128,0.8061
0.0194,0.9314,0.0472,0.9069
0.3032,0.8388,0.3337,0.822
0.2593,0.761,0.2879,0.7942
0.2957,0.6415,0.3165,0.6204
0.2819,0.8258,0.2957,0.8618
0.2766,0.8551,0.3014,0.883
0.2879,0.7942,0.3032,0.8388
0.2506,0.8513,0.2864,0.883
0.2521,0.8202,0.2766,0.8551
0.2189,0.7903,0.2593,0.761
0.2553,0.7903,0.2819,0.8258
0.217,0.8513,0.2499,0.883
0.2178,0.8202,0.2506,0.8513
0.1828,0.7903,0.2201,0.761
0.2189,0.7903,0.2521,0.8202
0.1861,0.8513,0.2134,0.883
0.1839,0.8202,0.217,0.8513
0.1481,0.8257,0.1529,0.8618
0.1477,0.7903,0.1824,0.761
0.1828,0.7903,0.2178,0.8202
0.1659,0.8551,0.189,0.883
0.1389,0.8989,0.1455,0.883
0.1481,0.8257,0.1529,0.8618
0.146,0.8612,0.155,0.883
0.1389,0.8989,0.1478,0.9266
0.139,0.8618,0.1455,0.883
0.155,0.883,0.1653,0.904
0.1092,0.9069,0.1229,0.883
0.1141,0.7903,0.1464,0.761
0.0805,0.761,0.1141,0.7903
0.1477,0.7903,0.1839,0.8202
0.1039,0.883,0.1276,0.8551
0.1138,0.8202,0.1477,0.7903
0.0496,0.761,0.0818,0.7903
0.1138,0.8202,0.1276,0.8551
0.0818,0.7903,0.1138,0.8202
0.0194,0.761,0.0505,0.7903
0.0916,0.8551,0.1039,0.883
0.0794,0.8618,0.085,0.883
0.0794,0.8618,0.0818,0.8242
0.0705,0.883,0.0794,0.8618
0.0449,0.883,0.0673,0.8551
0.0489,0.9314,0.0665,0.904
0.0505,0.7903,0.0818,0.8242
0.0194,0.8513,0.0449,0.883
0.0194,0.5465,0.0489,0.572
0.0192,0.883,0.0472,0.9069
0.0496,0.761,0.0818,0.7903
0.0194,0.8202,0.0481,0.8513
0.0194,0.7903,0.0503,0.8202
0.0505,0.7903,0.0818,0.8242
0.0805,0.761,0.1141,0.7903
0.0787,0.8989,0.0805,0.928
0.0503,0.8202,0.0673,0.8551
0.0794,0.8618,0.085,0.883
0.0705,0.883,0.0794,0.8618
0.0787,0.8989,0.085,0.883
0.0909,0.904,0.1133,0.9314
0.1141,0.7903,0.1464,0.761
0.1477,0.7903,0.1824,0.761
