# tri-to-quad-uv-map v1 profile=rabbitear uv_layer=UVMap uv_precision=4 joins=518 source=RabbitEar.NormalSrc result=RabbitEar
u1,v1,u2,v2
0.9506,0.123,0.9518,0.1783
0.8056,0.1847,0.8541,0.2306
0.9386,0.4595,0.9488,0.5075
0.8073,0.5073,0.8541,0.4588
0.9689,0.2243,0.985,0.2566
0.959,0.2254,0.9612,0.1769
0.7992,0.3471,0.8541,0.3714
0.9729,0.2582,0.987,0.2843
0.7355,0.2314,0.7635,0.1839
0.8541,0.4258,0.9,0.4587
0.9642,0.2861,0.9729,0.2582
0.8842,0.0185,0.9178,0.0724
0.9439,0.2599,0.959,0.2254
0.9421,0.4254,0.957,0.4602
0.9455,0.3417,0.9646,0.3693
0.7552,0.4322,0.8003,0.4018
0.9439,0.2599,0.9642,0.2861
0.7671,0.5114,0.8032,0.4617
0.9757,0.313,0.9886,0.3405
0.8893,0.0751,0.927,0.1261
0.927,0.1261,0.9518,0.1783
0.8541,0.5044,0.8906,0.5574
0.8984,0.1825,0.941,0.2265
0.965,0.3135,0.9747,0.2855
0.8541,0.3714,0.9025,0.3979
0.9759,0.3409,0.9885,0.3693
0.78,0.5639,0.8073,0.5073
0.8102,0.1306,0.8541,0.0775
0.9015,0.2287,0.9439,0.2599
0.9455,0.3141,0.965,0.3412
0.965,0.3412,0.9757,0.313
0.9744,0.3978,0.9852,0.4276
0.7747,0.0185,0.7823,0.0736
0.7823,0.0736,0.8216,0.0185
0.9677,0.4614,0.9709,0.5122
0.7722,0.1286,0.8157,0.0758
0.8541,0.3166,0.9035,0.3425
0.8541,0.0185,0.8893,0.0751
0.8541,0.2306,0.9029,0.2616
0.8966,0.5048,0.9205,0.5594
0.7427,0.1822,0.7722,0.1286
0.8023,0.2318,0.8541,0.2633
0.7315,0.2672,0.7572,0.2325
0.8032,0.4617,0.8541,0.4258
0.7997,0.2924,0.8541,0.3166
0.9646,0.3693,0.9759,0.3409
0.941,0.2265,0.9518,0.1783
0.7296,0.296,0.7538,0.2674
0.8056,0.1847,0.8541,0.1316
0.7592,0.4654,0.8012,0.4287
0.9627,0.259,0.9689,0.2243
0.9029,0.2616,0.9451,0.2868
0.7333,0.4347,0.7534,0.4053
0.7572,0.2325,0.8005,0.2654
0.9747,0.2855,0.9881,0.3122
0.7296,0.38,0.7514,0.3509
0.9034,0.2881,0.9455,0.3141
0.7288,0.3244,0.7522,0.2954
0.7534,0.4053,0.7996,0.3745
0.7538,0.2674,0.7997,0.2924
0.8541,0.5566,0.8814,0.6109
0.8012,0.4287,0.8541,0.3989
0.8541,0.1847,0.9015,0.2287
0.835,0.6565,0.8541,0.6098
0.8541,0.1316,0.8984,0.1825
0.8906,0.5574,0.9033,0.613
0.9279,0.0185,0.9308,0.0711
0.9151,0.615,0.9446,0.5633
0.9036,0.3151,0.9455,0.3417
0.7521,0.3783,0.7992,0.3471
0.831,0.6852,0.835,0.6565
0.8814,0.6109,0.8853,0.6569
0.7311,0.4073,0.7521,0.3783
0.7988,0.6168,0.8142,0.5595
0.8005,0.2654,0.8541,0.2897
0.9756,0.3693,0.9874,0.3984
0.9025,0.3979,0.9421,0.4254
0.8422,0.6819,0.8541,0.6546
0.8541,0.6098,0.8717,0.6555
0.8245,0.6124,0.8541,0.5566
0.9449,0.3696,0.9633,0.3975
0.8367,0.6954,0.8439,0.7113
0.9633,0.3975,0.9756,0.3693
0.8455,0.6963,0.8541,0.7133
0.7379,0.4684,0.7552,0.4322
0.8739,0.681,0.8861,0.6872
0.8541,0.7133,0.8625,0.6963
