# tri-to-quad-uv-map v1 profile=rabbittail uv_layer=UVMap uv_precision=4 joins=751 source=RabbitTail.NormalSrc result=RabbitTail
u1,v1,u2,v2
0.5,0.5149,0.5254,0.5504
0.5,0.3148,0.5094,0.2959
0.4906,0.2959,0.5,0.3148
0.4603,0.3927,0.5,0.4125
0.5,0.4938,0.5363,0.5149
0.4567,0.4124,0.5,0.4319
0.5,0.3344,0.5157,0.3148
0.4713,0.3535,0.5,0.3734
0.4591,0.4938,0.5,0.4728
0.4746,0.5504,0.5,0.5149
0.5,0.4519,0.545,0.4319
0.4652,0.3734,0.5,0.3927
0.4954,0.2808,0.5,0.2959
0.4637,0.5149,0.5,0.4938
0.4549,0.4319,0.5,0.4519
0.4561,0.4728,0.5,0.4519
0.4853,0.579,0.5,0.5504
0.5,0.4728,0.5409,0.4938
0.5,0.4319,0.5433,0.4124
0.5,0.4519,0.5439,0.4728
0.5,0.5504,0.5147,0.579
0.4777,0.3344,0.5,0.3535
0.5,0.4125,0.5396,0.3927
0.4843,0.3148,0.5,0.3344
0.5,0.3927,0.5348,0.3734
0.5,0.3535,0.5223,0.3344
0.5,0.2959,0.5045,0.2808
0.5,0.3734,0.5287,0.3535
0.6559,0.2669,0.6904,0.2958
0.6611,0.1004,0.6904,0.1242
0.6502,0.2449,0.6904,0.2669
0.6904,0.1004,0.7117,0.0772
0.6904,0.3275,0.7156,0.2958
0.6904,0.2958,0.7248,0.2669
0.6904,0.2449,0.7339,0.2204
0.6746,0.0598,0.6904,0.0772
0.6904,0.1957,0.7351,0.1714
0.654,0.1242,0.6904,0.1479
0.6468,0.2204,0.6904,0.1957
0.6904,0.1242,0.7196,0.1004
0.6904,0.0772,0.7061,0.0598
0.6449,0.1957,0.6904,0.1714
0.6904,0.2669,0.7305,0.2449
0.6904,0.2204,0.7358,0.1957
0.6904,0.1479,0.7267,0.1242
0.6904,0.0598,0.6989,0.0381
0.6502,0.2449,0.6904,0.2204
0.6904,0.1714,0.7321,0.1479
0.6691,0.0772,0.6904,0.1004
0.6818,0.0381,0.6904,0.0598
0.6486,0.1479,0.6904,0.1714
0.6655,0.2958,0.6904,0.3275
0.7097,0.4938,0.7506,0.4728
0.7246,0.3453,0.7506,0.3618
0.7384,0.3041,0.7506,0.2884
0.7056,0.4319,0.7506,0.4519
0.7506,0.4519,0.7945,0.4728
0.7506,0.4319,0.7939,0.4124
0.7158,0.3733,0.7506,0.3926
0.7384,0.3041,0.7506,0.3245
0.7316,0.3245,0.7506,0.3453
0.7506,0.276,0.7506,0.2884
0.7143,0.5149,0.7506,0.4938
0.7506,0.579,0.776,0.5504
0.7192,0.3618,0.7506,0.3733
0.7506,0.3733,0.782,0.3618
0.7506,0.3245,0.7628,0.3041
0.7067,0.4728,0.7506,0.4519
0.7506,0.4938,0.7869,0.5149
0.711,0.3926,0.7506,0.4125
0.7506,0.4125,0.7903,0.3926
0.7073,0.4124,0.7506,0.4319
0.7506,0.3618,0.7767,0.3453
0.7359,0.579,0.7506,0.5504
0.7252,0.5504,0.7506,0.5149
0.7506,0.3041,0.7575,0.2883
0.7506,0.4728,0.7915,0.4938
0.7506,0.3926,0.7854,0.3733
0.7506,0.4319,0.7958,0.4519
0.7506,0.3453,0.7696,0.3245
0.7506,0.5504,0.7869,0.5149
0.0307,0.1004,0.0599,0.1242
0.0514,0.0381,0.0599,0.0598
0.0599,0.2669,0.1,0.2449
0.0599,0.1957,0.1034,0.2204
0.0599,0.1242,0.0891,0.1004
0.0151,0.1714,0.0599,0.1957
0.0599,0.0598,0.0684,0.0381
0.0599,0.1714,0.1016,0.1479
0.0599,0.0772,0.0756,0.0598
0.0599,0.2958,0.0943,0.2669
0.0235,0.1242,0.0599,0.1479
0.0181,0.1479,0.0599,0.1714
0.0599,0.2204,0.1,0.2449
0.0163,0.2204,0.0599,0.2449
0.0197,0.2449,0.0599,0.2669
0.0307,0.1004,0.0599,0.0772
0.0386,0.0772,0.0599,0.0598
0.0599,0.1714,0.1053,0.1957
0.0144,0.1957,0.0599,0.2204
0.0254,0.2669,0.0599,0.2958
0.0599,0.1479,0.0963,0.1242
0.0599,0.3275,0.0851,0.2958
0.0599,0.1004,0.0812,0.0772
0.0459,0.3275,0.0599,0.2958
0.1868,0.1714,0.2286,0.1479
0.1576,0.1004,0.1868,0.1242
0.1421,0.1714,0.1868,0.1479
0.1711,0.0598,0.1868,0.0772
0.1783,0.0381,0.1868,0.0598
0.1414,0.1957,0.1868,0.2204
0.1414,0.1957,0.1868,0.1714
0.1868,0.1242,0.2161,0.1004
0.1505,0.1242,0.1868,0.1479
0.1433,0.2204,0.1868,0.2449
0.159,0.2879,0.1868,0.3275
0.1868,0.2449,0.2304,0.2204
0.1467,0.2449,0.1868,0.2879
0.1868,0.0772,0.2026,0.0598
0.1868,0.2879,0.2008,0.3275
0.1868,0.2879,0.227,0.2449
0.1868,0.2204,0.2323,0.1957
0.1655,0.0772,0.1868,0.1004
0.1868,0.1004,0.2082,0.0772
0.1868,0.1479,0.2232,0.1242
0.1868,0.0598,0.1954,0.0381
0.1868,0.1957,0.2316,0.1714
0.0803,0.4124,0.1237,0.3926
0.0976,0.3453,0.1237,0.3245
0.1047,0.3245,0.1237,0.3041
0.1237,0.4519,0.1687,0.4319
